TabellarischeAuswertung von: 01.11.2023 00:00:00 bis: 20.11.2023 00:00:00;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [m³/min];Trocknung-Durchfluss  7B Netz 800.1 [m³/min];Trocknung-Durchfluss 7A Netz 700.5 [m³/min];Trocknung-Durchfluss 7A Netz 700.6 [m³/min];Trocknung-Durchfluss 7C Netz 900.1 [m³/min]
01.11.2023 00:07:17;NaN;83,29;54,29;97,79;24,29
01.11.2023 00:22:17;NaN;93,97;49,13;87,19;34,40
01.11.2023 00:37:17;NaN;109,34;57,42;103,97;28,13
01.11.2023 00:52:17;NaN;96,07;55,05;101,46;28,12
01.11.2023 01:07:17;NaN;93,74;51,75;92,31;12,55
01.11.2023 01:22:17;NaN;88,11;55,05;98,04;14,43
01.11.2023 01:37:17;NaN;57,49;45,04;73,47;31,06
01.11.2023 01:52:17;NaN;45,67;46,67;71,54;29,45
01.11.2023 02:07:17;NaN;31,07;35,79;57,31;15,47
01.11.2023 02:22:17;NaN;30,09;35,13;53,16;14,15
01.11.2023 02:37:17;NaN;61,37;47,16;80,13;26,55
01.11.2023 02:52:17;NaN;38,23;42,38;71,84;15,39
01.11.2023 03:07:17;NaN;48,71;47,44;81,69;17,90
01.11.2023 03:22:17;NaN;70,00;46,59;84,44;16,56
01.11.2023 03:37:17;NaN;74,63;46,03;76,27;18,04
01.11.2023 03:52:17;NaN;75,81;54,01;101,04;28,89
01.11.2023 04:07:17;NaN;102,98;53,78;97,25;25,12
01.11.2023 04:22:17;NaN;41,43;40,91;66,36;15,04
01.11.2023 04:37:17;NaN;87,54;53,74;95,01;27,85
01.11.2023 04:52:17;NaN;54,57;45,25;87,11;25,42
01.11.2023 05:07:17;NaN;76,12;42,88;73,23;29,02
01.11.2023 05:22:17;NaN;28,75;39,01;66,23;40,13
01.11.2023 05:37:17;NaN;102,74;55,26;100,31;23,74
01.11.2023 05:52:17;NaN;66,75;46,50;89,60;20,41
01.11.2023 06:07:17;NaN;95,14;58,84;118,80;30,49
01.11.2023 06:22:17;NaN;92,17;50,05;95,11;29,62
01.11.2023 06:37:17;NaN;105,50;53,00;101,69;25,77
01.11.2023 06:52:17;NaN;79,08;55,03;106,72;51,90
01.11.2023 07:07:17;NaN;94,69;56,86;107,53;21,92
01.11.2023 07:22:17;NaN;81,58;56,90;108,93;23,35
01.11.2023 07:37:17;NaN;90,59;62,10;123,04;36,89
01.11.2023 07:52:17;NaN;88,09;61,75;122,35;18,48
