TabellarischeAuswertung von: 09.11.2023 00:00:00 bis: 10.11.2023 00:00:00;;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [m³/min];Trocknung-Durchfluss  7B Netz 800.1 [m³/min];Trocknung-Durchfluss 7A Netz 700.5 [m³/min];Trocknung-Durchfluss 7A Netz 700.6 [m³/min];Trocknung-Durchfluss 7C Netz 900.1 [m³/min];
09.11.2023 00:00;;59,5;;;;
09.11.2023 00:00;;66,99;42,22;74,98;;
09.11.2023 00:00;;59,5;;;;
09.11.2023 00:00;;81,02;43,8;77,21;;
09.11.2023 00:00;;66,99;;;;
09.11.2023 00:00;;84,2;;;;
09.11.2023 00:00;;81,02;;;;
09.11.2023 00:00;;80,39;42,47;;;
09.11.2023 00:00;;84,2;;;;
09.11.2023 00:00;;76,56;;78,28;;
09.11.2023 00:00;;80,39;;;;
09.11.2023 00:00;;71,43;;;;
09.11.2023 00:00;;76,56;;;;
09.11.2023 00:00;;63,92;;;;
09.11.2023 00:00;;71,43;;;;
09.11.2023 00:00;;62,01;;;;
09.11.2023 00:00;;71,35;43,48;80,42;;
09.11.2023 00:00;;62,01;;;;
09.11.2023 00:00;;74;;;;
09.11.2023 00:00;;77,68;;;15,12;
09.11.2023 00:00;;74;;;;
09.11.2023 00:00;;81,55;;81,5;;
09.11.2023 00:00;;77,68;;;;
09.11.2023 00:00;;79,87;;;;
09.11.2023 00:00;;76,51;;;;
09.11.2023 00:00;;79,87;;;;
09.11.2023 00:00;;81,62;44,55;83,32;;
09.11.2023 00:00;;76,51;;;;
09.11.2023 00:00;;81,62;;;;
09.11.2023 00:00;;77,55;;;13,97;
09.11.2023 00:00;;68,16;;81,55;;
09.11.2023 00:00;;77,55;;;;
09.11.2023 00:00;;64,61;43,52;80,23;;
09.11.2023 00:00;;68,16;;;;
09.11.2023 00:00;;68,09;;;;
09.11.2023 00:00;;64,61;;;;
09.11.2023 00:00;;75,7;44,68;;;
09.11.2023 00:00;;68,09;;;;
09.11.2023 00:00;;87,63;;81,88;;
09.11.2023 00:00;;75,7;;;;
09.11.2023 00:00;;91,24;;83,49;;
09.11.2023 00:00;;87,63;;;;
09.11.2023 00:00;;87,98;;;;
09.11.2023 00:00;;91,24;;;;
09.11.2023 00:00;;82,92;;;;
09.11.2023 00:00;;87,98;;;;
09.11.2023 00:00;;75,45;;82,18;;
09.11.2023 00:00;;82,92;;;;
09.11.2023 00:00;;69,78;;;;
09.11.2023 00:00;;75,45;;;;
09.11.2023 00:00;;76,87;;;;
09.11.2023 00:00;;69,78;;;;
09.11.2023 00:01;;83,09;;;;
09.11.2023 00:01;;76,87;;;;
09.11.2023 00:01;;85,65;;83,39;;
09.11.2023 00:01;;89,18;;;;
09.11.2023 00:01;;85,65;;;;
09.11.2023 00:01;;91,83;;;;
09.11.2023 00:01;;90,49;43,56;;;
09.11.2023 00:01;;;44,78;;;
09.11.2023 00:01;;92,38;45,98;;;
09.11.2023 00:01;;85,63;;;12,95;
09.11.2023 00:01;;92,38;;;;
09.11.2023 00:01;;75,75;44,8;82,28;;
09.11.2023 00:01;;85,63;;;;
09.11.2023 00:01;;71,55;;;;
09.11.2023 00:01;;75,75;;;;
09.11.2023 00:01;;74,16;;;;
09.11.2023 00:01;;79,74;;83,45;;
09.11.2023 00:01;;74,16;;;;
09.11.2023 00:01;;79,74;;;;
09.11.2023 00:01;;91,91;;84,98;;
09.11.2023 00:01;;90,36;45,95;;;
09.11.2023 00:01;;85,15;;83,53;;
09.11.2023 00:01;;90,36;;;;
09.11.2023 00:01;;80,59;;;;
09.11.2023 00:01;;85,15;;;;
09.11.2023 00:01;;71,46;44,61;81,09;;
09.11.2023 00:01;;80,59;;;;
09.11.2023 00:01;;63,89;43,56;;;
09.11.2023 00:01;;71,46;;;;
09.11.2023 00:01;;65,93;44,65;;14,18;
09.11.2023 00:01;;75,42;;82,96;;
09.11.2023 00:01;;65,93;;;;
09.11.2023 00:01;;75,42;;;;
09.11.2023 00:01;;80,21;;;;
09.11.2023 00:01;;83,73;;;;
09.11.2023 00:01;;80,21;;;;
09.11.2023 00:01;;80,08;;;;
09.11.2023 00:01;;83,73;;;;
09.11.2023 00:01;;80,08;;;;
09.11.2023 00:01;;83,96;;;;
09.11.2023 00:01;;77,79;;81,74;;
09.11.2023 00:01;;83,96;;;;
09.11.2023 00:01;;70,52;43,59;80,2;;
09.11.2023 00:01;;77,79;;;;
09.11.2023 00:02;;75,39;;;;
09.11.2023 00:02;;70,52;;;;
09.11.2023 00:02;;77,46;;81,91;;
09.11.2023 00:02;;85,12;;;;
09.11.2023 00:02;;77,46;;;;
09.11.2023 00:02;;93,38;;84,55;;
09.11.2023 00:02;;85,12;;;;
09.11.2023 00:02;;;45,43;;;
09.11.2023 00:02;;87,53;;;;
09.11.2023 00:02;;93,38;;;;
09.11.2023 00:02;;82,46;;;;
09.11.2023 00:02;;87,53;;;;
09.11.2023 00:02;;73,69;;83,4;;
09.11.2023 00:02;;82,46;;;;
09.11.2023 00:02;;67,88;;;;
09.11.2023 00:02;;73,69;;;;
09.11.2023 00:02;;78,35;;82,11;;
09.11.2023 00:02;;67,88;;;;
09.11.2023 00:02;;85,27;;84,39;;
09.11.2023 00:02;;78,35;;;;
09.11.2023 00:02;;86,49;;;;
09.11.2023 00:02;;;46,46;87,02;12,83;
09.11.2023 00:02;;88,81;;89,7;;
09.11.2023 00:02;;;;91,68;14,37;
09.11.2023 00:02;;85,75;;;;
09.11.2023 00:02;;88,81;;;;
09.11.2023 00:02;;81,86;48,17;93,19;;
09.11.2023 00:02;;85,75;;;;
09.11.2023 00:02;;85,96;49,5;95;15,86;
09.11.2023 00:02;;81,86;;;;
09.11.2023 00:02;;81,61;;;17,97;
09.11.2023 00:02;;85,96;;;;
09.11.2023 00:02;;78,64;;;;
09.11.2023 00:02;;80,54;;;19,08;
09.11.2023 00:02;;;;96,35;;
09.11.2023 00:02;;81,81;;;;
09.11.2023 00:02;;84,75;50,54;;;
09.11.2023 00:02;;92,55;;97,86;17,92;
09.11.2023 00:02;;84,75;;;;
09.11.2023 00:02;;84,8;;;;
09.11.2023 00:02;;92,55;;;;
09.11.2023 00:02;;76,94;48,92;95,47;;
09.11.2023 00:02;;84,8;;;;
09.11.2023 00:02;;72,86;;;;
09.11.2023 00:02;;76,94;;;;
09.11.2023 00:02;;74,16;;;;
